STATE,LIBNAME,ADDRESS,CITY,ZIP,CNTY,SQ_FEET,HOURS,WKS_OPEN,LONGITUD,LATITUDE
VA,ISLE OF WIGHT COUNTY LIBRARY-SMITHFIELD BRANCH,255 JAMES STREET,SMITHFIELD,23430,ISLE OF WIGHT,9900,-1,-1,-76.638127,36.9834
VA,SURRY PUBLIC LIBRARY,11640 ROLFE HIGHWAY,SURRY,23883,SURRY,1283,-1,-1,-76.835718,37.13422
VA,WAVERLY PUBLIC LIBRARY,352 W. MAIN STREET,WAVERLY,23890,SUSSEX,2650,-1,-1,-77.094496,37.03603
VA,BOOKMOBILE,22511 MAIN STREET,COURTLAND,23837,SOUTHAMPTON,-3,-1,-1,-77.062847,36.711511
VA,RUTH CAMP CAMPBELL MEMORIAL LIBRARY,280 NORTH COLLEGE DRIVE,FRANKLIN,23851,FRANKLIN,10200,-1,-1,-76.94418,36.67751
VA,WINDSOR PUBLIC LIBRARY,18 DUKE STREET,WINDSOR,23487,ISLE OF WIGHT,2284,-1,-1,-76.742898,36.81036
VA,CLAREMONT PUBLIC LIBRARY,91 MANCHA AVENUE,CLAREMONT,23899,SURRY,768,-1,-1,-76.966012,37.22501
VA,WASHINGTON COUNTY PUBLIC LIBRARY,205 OAK HILL STREET,ABINGDON,24210,WASHINGTON,14500,-1,-1,-81.973173,36.71276
VA,DAMASCUS BRANCH LIBRARY,126 E. LAUREL AVENUE,DAMASCUS,24236,WASHINGTON,2028,-1,-1,-81.78842,36.63487
VA,GLADE SPRING BRANCH LIBRARY,212 GRACE STREET,GLADE SPRING,24340,WASHINGTON,1094,-1,-1,-81.771653,36.79153
VA,MENDOTA BRANCH LIBRARY,2562 MENDOTA ROAD,MENDOTA,24270,WASHINGTON,1200,-1,-1,-82.298252,36.71374
VA,HAYTERS GAP BRANCH LIBRARY,7720 HAYTERS GAP ROAD,ABINGDON,24210,WASHINGTON,1408,-1,-1,-82.018671,36.74013
VA,WAYNESBORO PUBLIC LIBRARY,600 S. WAYNE AVE.,WAYNESBORO,22980,WAYNESBORO,27743,-1,-1,-78.893767,38.0621
