zipcode,state,actual_med_income,predicted_med_income,residual,abs_residual
4253,23,44938,51484.22667,-6546.226667,6546.226667
4255,23,55000,46295.85534,8704.144663,8704.144663
4256,23,47571,51484.22667,-3913.226667,3913.226667
4257,23,26477,43510.07883,-17033.07883,17033.07883
4258,23,60192,57670.76667,2521.233333,2521.233333
4259,23,61360,57670.76667,3689.233333,3689.233333
4260,23,58938,68283.34201,-9345.342007,9345.342007
4263,23,54940,51484.22667,3455.773333,3455.773333
4265,23,75089,51484.22667,23604.77333,23604.77333
4267,23,23594,43510.07883,-19916.07883,19916.07883
4274,23,63770,61723.9646,2046.035398,2046.035398
4276,23,31188,43510.07883,-12322.07883,12322.07883
4280,23,52317,51484.22667,832.7733333,832.7733333
4281,23,31812,43510.07883,-11698.07883,11698.07883
4282,23,57764,57670.76667,93.23333333,93.23333333
4284,23,59265,57670.76667,1594.233333,1594.233333
4285,23,45000,51484.22667,-6484.226667,6484.226667
4286,23,80625,43510.07883,37114.92117,37114.92117
4287,23,61992,51484.22667,10507.77333,10507.77333
4290,23,46985,51484.22667,-4499.226667,4499.226667
